Stu ID,Class,Name,Practice Score, Midterm Score,Final Score,Plus Score,Other Score,Average Score,
23CTT1045,23TT2,ABCDee,9.0,9.8,7.0,0.1,0.1,8.1,
23CTT1045,23TT2,ABCDee,9.0,9.8,7.0,0.1,0.1,8.1,
23CTT1045,23TT2,ABCDee,9.0,9.8,7.0,0.1,0.1,8.1,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
23CTT1045,23CTT1,,,,,,,,
